uuid,identifier,createdBy,Date,Type,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositioninTheLandscape,ProminenceNote,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1.00E+18,9534,Vera Dolezalkova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.32686093,26.13019391,4686434.564,428334.289,3,43,164.8,North,photo #9,files/app/0d2a8297-d65b-44dd-b708-98093b48915f_image-1505196249472.original.jpg,1.5,22,NA,18,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(428334.289033 4686434.564257)
1.00E+18,8119,Bara Weissova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Scrub,,Valley Bottom or Plain,,42.37154599,26.04062205,4691475.597,421010.1274,3,21,150.5,West,,files/app/d59e14c0-f46c-442f-b3e6-6e926825acbe_image-1505197189510.original.jpg,3,50,NA,45,,,,,No,,,2 - minor damage,Looting,agriculture,No observation,Agriculture,,Last year,,"01,square,2,0.5, manual excavation; 02, rectangle, 4,1,1, manual excavation; 03, rectangle, 4,0.5,0.5, manual excavation; 04, irregular, 2,1,0.5, manual excavation",,files/app/c7aa4d29-d1d9-4609-a226-9f66ebfe2e0f_image-1505197102963.original.jpg,POINT(421010.127408 4691475.596817)
1.00E+18,8332,Adela Sobotkova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Hilltop,,42.35225474,26.24632243,4689162.914,437927.4752,3,31,,Northwest,#141-142,files/app/d0d8270e-4273-464c-9367-8e5d096cc9b0_image-1505196244166.original.jpg,0.6,15,NA,NA,,,,none,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last week,,,,,POINT(437927.475184 4689162.914175)
1.00E+18,9535,Vera Dolezalkova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.32882515,26.13239884,4686650.809,428518.185,3,44,,East,photo #10,files/app/33d6ac88-57bb-451b-8893-35f093cba14a_image-1505196989668.original.jpg,1.8,24,1.5,22,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(428518.184967 4686650.808579)
1.00E+18,8333,Adela Sobotkova,12-Sep,Extinct Burial Mound,Legacy verification,mound not discernible but soilmark and pottery on the surface,Annual agriculture,,Annual agriculture,,Hilltop,,42.35242033,26.24658871,4689181.107,437949.5695,3,32,,North,,files/app/15d00625-059f-4ba8-a616-7bfe010614fa_image-1505196884113.original.jpg,0.1,10,NA,NA,,uncertain diameter,Loose artefacts,"amphora handle, other thick walled fw,",Yes,,files/app/6b226cb5-812a-4507-911d-dcb87e1016d0_image-1505197026458.original.jpg,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(437949.569485 4689181.106911)
1.00E+18,8334,Adela Sobotkova,12-Sep,Extinct Burial Mound,Legacy verification,soilmark ashy loose soil with rocks,Annual agriculture,,Annual agriculture,,Hilltop,,42.35250304,26.2467932,4689190.142,437966.4922,6,33,,Northeast,#145,files/app/dc0c6bb5-5d41-4690-8511-f784a29971cd_image-1505198009319.original.jpg,0,7,NA,4,,,,"lots of field stones, some red uncharacteristic pottery",No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(437966.492166 4689190.141628)
1.00E+18,8335,Adela Sobotkova,12-Sep,Burial Mound,Legacy verification,lovely large mound with yellow brown dry soil on top,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.35395734,26.24782365,4689350.871,438052.7881,3,034 (also 35),,East,146-147,files/app/8bfee81b-fb91-4de5-b38c-3f3603cb00c5_image-1505198500729.original.jpg,2.4,40,NA,NA,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(438052.788138 4689350.871277)
1.00E+18,8336,Adela Sobotkova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.35426709,26.24856177,4689384.727,438113.8816,3,36,,Northeast,#148-149,files/app/c49d372a-b946-4514-adab-d62a1f48ce41_image-1505198990879.original.jpg,0.8,20,NA,18,,,Loose artefacts,"AC, some pottery",Yes,,files/app/426d11fc-65ac-4be5-8d7b-e9a4608158ae_image-1505199137992.original.jpg,4 - seriously damaged,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(438113.881561 4689384.727218)
1.00E+18,9536,Vera Dolezalkova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.33956508,26.12606772,4687848.672,428008.8098,3,45,,South,"photo #11
southern part of mound is damaged by tractor track
mound is very flat but still possible to see mound
only visible from north or south view 
east and west barely visible",files/app/27d7fb72-6159-44a3-93b6-7b8d48738a3b_image-1505199375979.original.jpg,0.6,19,0.4,14,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(428008.809841 4687848.672473)
1.00E+18,8337,Adela Sobotkova,12-Sep,Uncertain Mound,Legacy verification,"not in the map, uncertain terrain wave with pottery and a light brown soilmark, very sprawling mound? embankment?",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.3546495,26.2485118,4689427.225,438110.1415,3,37,,North,"#150, 152",files/app/b1a5b4a2-5f9e-4133-b3a8-8a5dde864026_image-1505199497876.original.jpg,0.7,40,NA,NA,,,Artefact scatter,low density scatter of fineware all over,Yes,Roman,files/app/7394b5f0-606f-4829-95e2-7d77cccd8fa2_image-1505199729402.original.jpg,5 - extinct or near extinct,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(438110.141494 4689427.224743)
1.00E+18,8120,Bara Weissova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.35834032,26.04243799,4690007.587,421143.1279,3,23,149.8,Southeast,,files/app/85651705-7c73-49dc-8e89-347d62345126_image-1505200164768.original.jpg,1.5,55,NA,50,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last year,,,,,POINT(421143.127863 4690007.587359)
1.00E+18,9537,Vera Dolezalkova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.34460905,26.12459546,4688409.986,427893.294,3,46,,South,"southern half is in deeply plowed field so visible from the north facing south, north half is in the less plowed field.
photo #16",files/app/3154f9a3-8d4a-4caa-8106-a7ff1fbed574_image-1505200781872.original.jpg,0.5,17,NA,15,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(427893.294031 4688409.985932)
1.00E+18,8121,Bara Weissova,12-Sep,Extinct Burial Mound,Legacy verification,can see agricultured mound. soil is lighter where mound was.,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.35676104,26.0386903,4689835.711,420832.5138,3,23,,South,,files/app/6745cf10-17aa-4d01-8bee-cd0baade0115_image-1505201396728.original.jpg,0.5,55,0,50,,,,,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(420832.513827 4689835.710935)
1.00E+18,8338,Adela Sobotkova,12-Sep,Uncertain Mound,Legacy verification,"rectangular trenches on western part of elevated peak, military or agricultural (reservoirs); excavated lots all over the hill. bedrock is protruding in many places and trenches suggesting that this is a natural outcrop. no clear mound distinguished.",Scrub,,Scrub,,Upper slope,,42.35834192,26.24516733,4689839.659,437838.3412,3,38,,Northeast,#154-156,files/app/587b504d-06e5-4866-8801-a14d02fb310d_image-1505201252008.original.jpg - files/app/9ff2623a-2e95-4ec4-bbfd-f5ccd9556c53_image-1505201480225.original.jpg,6,35,3,NA,,uncertain height,Loose artefacts,2 amphora handles in the dug up debris,Yes,,files/app/32c6af5d-03ad-43bc-90c2-60161182718a_image-1505201821484.original.jpg,4 - seriously damaged,Excavation,,3 - impaired,Looting,,Unknown,,"[01,rect,5,4,2;02,rect, 10,6,3;03,rect, 4,3,2;04,rect,15,7,4, trees inside;05, rect,5,4,2.2, big stones inside]","old massive trenches, probably agricultural or military use",files/app/4654655a-4d96-4731-bf53-e0d4617cbc2f_image-1505202164964.original.jpg - files/app/c43c3cca-a6a2-4362-9202-ba4d75c1ba08_image-1505202465028.original.jpg - files/app/d97723d6-b15c-42a6-a56e-0ba644de6deb_image-1505201661849.original.jpg,POINT(437838.341157 4689839.659053)
1.00E+18,9538,Vera Dolezalkova,12-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.34895439,26.11542731,4688900.292,427143.1299,3,47,167.3,East,"photo #
seriously damaged by plowing even the elevation has been moved by the plowing for details see photos",files/app/b52ec9cf-3212-4fe5-ad17-1c0a18c47e72_image-1505203475904.original.jpg,1.5,15,1.2,15,,,,,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(427143.129863 4688900.291796)
1.00E+18,8339,Adela Sobotkova,12-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.3591658,26.23935819,4689935.402,437360.7653,3,39,,West,#157,files/app/c6ffc732-4f4b-45b3-ba5f-46da3884e656_image-1505203503006.original.jpg,1.5,26,NA,20,,,,,No,,,1 - pristine,No observation,,1 - full,Post-depositional,,Unknown,,,,,POINT(437360.765325 4689935.402264)
1.00E+18,8122,Bara Weissova,12-Sep,Extinct Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.36047095,26.06335535,4690224.98,422868.329,3,25,,North,,files/app/07042230-d54f-44cc-a2c9-402bccda685b_image-1505204273775.original.jpg,0.5,50,NA,40,,,,,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(422868.329036 4690224.979931)
1.00E+18,8340,Adela Sobotkova,12-Sep,Burial Mound,Legacy verification,XL mound on the road to Prochorovo with concrete staircase,Scrub,,Other,"explain in notes (bare surface,looks replied post excavation",Hilltop,,42.36306858,26.24329763,4690365.86,437689.0379,3,40,,Northeast,,files/app/483a4ae5-dc9e-4198-81bf-a080d661609d_image-1505204653889.original.jpg - files/app/6badf38c-3e2a-4575-b232-edd5ac9b10b8_image-1505204694779.original.jpg,7,50,NA,NA,,,,,No,,,2 - minor damage,Excavation,"modern construction on top: a staircase and platform, tiles everywhere; animal burrows",2 - good,Animal activity,,Last year,,,,files/app/c1ec290a-d586-4fe0-97c3-9f2a79fc57d0_image-1505205118319.original.jpg - files/app/d024a639-6340-4ec6-9472-9529a985ae60_image-1505205102828.original.jpg,POINT(437689.037877 4690365.859771)
1.00E+18,9539,Vera Dolezalkova,12-Sep,Burial Mound,Legacy verification,impossible to determine circle as mound seriously  damaged by plowing,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.34187062,26.11353273,4688115.357,426978.8854,3,49,,East,photo #22-24,files/app/c3000acd-55a9-4fa8-b1cb-178d6fd16e7c_image-1505205919630.original.jpg,1,20,NA,NA,,uncertain height and diameter,Artefact scatter,pottery,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(426978.8854 4688115.357301)
1.00E+18,8123,Bara Weissova,12-Sep,Extinct Burial Mound,Survey,extinct Mound with elevation marker on top,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.34701893,26.07586167,4688720.038,423881.9876,3,26,156.2,West,,files/app/a13b4894-bca3-4c42-ac94-1788b67dc2e3_image-1505205786315.original.jpg,0.4,30,NA,30,,,,,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(423881.987629 4688720.037756)
1.00E+18,9540,Vera Dolezalkova,12-Sep,Burial Mound,Legacy verification,nearly extinct but still possible to determine it but hard to determine the exact border,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.34200415,26.11423939,4688129.578,427037.2505,3,50,,East,,files/app/e9a71105-3df4-4cdd-b3bb-ed177ae674f6_image-1505206266075.original.jpg,1,18,NA,NA,,uncertain diameter,,,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(427037.250454 4688129.577576)
1.00E+18,8124,Bara Weissova,12-Sep,Extinct Burial Mound,Legacy verification,completely plowed over,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.34689193,26.08019646,4688702.065,424238.8794,3,27,,South,,files/app/d7c32e95-496e-4ccb-9cd2-73ce246b0368_image-1505206525282.original.jpg,0.5,50,NA,50,,,,,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(424238.879405 4688702.065053)
1.00E+18,8125,Bara Weissova,12-Sep,Extinct Burial Mound,Legacy verification,entirely destroyed by agriculture. loose scatter of pottery on top,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.37668833,26.09962666,4691993.448,425874.327,3,28,,West,,files/app/29b617f2-b657-4dbe-b1e5-a663e228220c_image-1505208359752.original.jpg,0,0,0,0,,,Artefact scatter,,No,Hellenistic/Roman,files/app/eb97676b-5c87-46c6-b67e-740975a95d47_image-1505208540825.original.jpg,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(425874.326972 4691993.447893)
1.00E+18,9541,Vera Dolezalkova,12-Sep,Extinct Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.33856343,26.11818536,4687744.154,427358.3336,3,52,,North,,files/app/30e8cabf-3539-4b29-80e9-56f7df221607_image-1505208585371.original.jpg - files/app/d6133e3d-d3a0-434d-a02c-53dcf9a8d511_image-1505208392632.original.jpg - files/app/e3773540-2883-44cc-aa26-b9f177467b53_image-1505208336766.original.jpg,0.1,10,NA,NA,,,,,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(427358.333552 4687744.153859)
1.00E+18,8341,Adela Sobotkova,12-Sep,Burial Mound,Legacy verification,mound on top of burnt hill,Scrub,,Scrub,,Hilltop,,42.36853972,26.24102697,4690975.025,437507.4821,3,41,,West,#173-175,files/app/3ba398e0-d457-4e1f-bc6e-28dc851e051c_image-1505208671523.original.jpg,1.75,15,NA,NA,,,,,No,,,2 - minor damage,Looting,burning,3 - impaired,Agriculture,,Last month,,"[01, crescent,8,1.5,0.5;02, round,2,0.5;03, rect,6,2.5,0.5]",burning,files/app/304d6147-22d9-433a-8474-212747b47bac_image-1505209057096.original.jpg - files/app/7039222d-c960-4982-9f0b-1961da48b55f_image-1505209022406.original.jpg,POINT(437507.482066 4690975.025305)
1.00E+18,8126,Bara Weissova,12-Sep,Extinct Burial Mound,Legacy verification,completely destroyed by agriculture,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.37543169,26.09945629,4691854.062,425858.8225,3,29,,West,,files/app/ed130779-4f77-47b5-b97f-8ba94fd5c48f_image-1505209103741.original.jpg,0,0,0,0,,,,,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(425858.822492 4691854.062061)
1.00E+18,8342,Adela Sobotkova,12-Sep,Burial Mound,Legacy verification,arrow head shaped mound - road cuts through - uncertain!,Scrub,,Scrub,,Hilltop,,42.3683457,26.24090384,4690953.572,437497.1513,3,42,,South,#176,files/app/a716b89c-fb38-443f-ab45-0edea6852877_image-1505209306789.original.jpg,1.5,10,NA,NA,,,,,No,,,3 - damaged,Road cut,burning,2 - good,Infrastructure,,Unknown,,,,,POINT(437497.151279 4690953.57205)
1.00E+18,8127,Bara Weissova,12-Sep,Extinct Burial Mound,Legacy verification,completely destroyed by agriculture but evident in soil marks,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.37761432,26.09912737,4692096.703,425834.311,3,30,,West,,files/app/1ed34a5e-f2f0-4fcc-9d66-1de9c03acdc6_image-1505209660035.original.jpg,0,30,0,20,,,Other,3 insignificant pieces of pottery,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last year,,,,,POINT(425834.310989 4692096.702784)
1.00E+18,8343,Adela Sobotkova,12-Sep,Uncertain Feature,Legacy verification,"natural hilltop, quarried away?",Scrub,,Scrub,,Hilltop,,42.36809925,26.240642,4690926.399,437475.347,3,43,,Northeast,#177,files/app/cb6e0c9b-f57e-47b7-a25a-786f6687595c_image-1505209649927.original.jpg,1.4,15,NA,12,,,,,No,,,3 - damaged,Road cut,,3 - impaired,Infrastructure,,Last year?,,,,files/app/9a7e85b6-76f1-4d29-83b6-cbd1b75eb32b_image-1505209853270.original.jpg,POINT(437475.34704 4690926.399368)
1.00E+18,8344,Adela Sobotkova,12-Sep,Uncertain Mound,Legacy verification,scrubby bush full of robbers trenches,Scrub,,Scrub,,Hilltop,,42.37273013,26.23643442,4691443.701,437133.5163,3,44,,North,,files/app/d2834d94-a8c3-4188-a41e-913398c6a925_image-1505211510804.original.jpg,0,0,NA,NA,,,Other,,No,,,0 - No observation,No observation,,No observation,Not available,,Unknown,,,,,POINT(437133.516301 4691443.701088)
1.00E+18,8128,Bara Weissova,12-Sep,Extinct Burial Mound,Legacy verification,"map location visited, no mound detected",Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.372766,26.058807,,,3,,,No Observation,"situated in an irrigation channel, photo in the terrain not taken",files/app/d5c53ba6-dcd7-46bc-af56-25975d59572d_image-1505218622039.original.jpg,0,0,0,0,,,,,No,,,0 - No observation,No observation,,No observation,Not available,,Not relevant,,,,,POINT(422520.016701 4691606.64706)
1.00E+18,9542,Vera Dolezalkova,12-Sep,Extinct Burial Mound,Legacy verification,no mound detected at map point,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.330023,26.131279,,,3,,,No Observation,,files/app/1c9f3770-b7f3-4f14-abc0-83105b54c88b_image-1505219274203.original.jpg,0,0,NA,NA,,,,,No,,,0 - No observation,No observation,,No observation,Not available,,Not relevant,,,,,POINT(428427.836777 4686782.790926)
1.00E+18,9543,Vera Dolezalkova,12-Sep,Extinct Burial Mound,Legacy verification,no mound found,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.339661,26.124631,,,3,,,No Observation,,files/app/da35613c-a021-46e9-860c-2d84ca8461ac_image-1505222126479.original.jpg,0,0,NA,NA,,,,,No,,,0 - No observation,No observation,,No observation,Agriculture,,Last month,,,,,POINT(427903.674096 4687864.178422)
1.00E+18,9544,Vera Dolezalkova,12-Sep,Extinct Burial Mound,Legacy verification,"map location visited, no mound detected",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.34725,26.114431,,,3,,,No Observation,,files/app/5f91c632-d67d-4fd6-b750-337d53bcf2d8_image-1505222595751.original.jpg,0,0,NA,NA,,,,,No,,,0 - No observation,No observation,,No observation,Agriculture,,Last month,,,,,POINT(427065.492328 4688721.788659)
1.00E+18,9545,Vera Dolezalkova,12-Sep,Extinct Burial Mound,Legacy verification,"map location visited, no mound detected",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.34124,26.113514,,,3,,,No Observation,,files/app/0805daa2-2761-48e2-9f9d-cf939390eeac_image-1505222876062.original.jpg,0,0,NA,NA,,,,,No,,,0 - No observation,Looting,,No observation,Agriculture,,Last month,,,,,POINT(426981.627973 4688050.54546)
1.00E+18,9546,Vera Dolezalkova,12-Sep,Extinct Burial Mound,Legacy verification,"map location visited, no mound detected",Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.340508,26.111041,,,3,,,No Observation,,files/app/b1db7ffd-b779-44fc-b02e-4e7979ad9652_image-1505223111327.original.jpg,0,0,NA,NA,,,,,No,,,0 - No observation,Agriculture,,No observation,Agriculture,,Last month,,,,,POINT(426786.222236 4687962.267758)
1.00E+18,9547,Vera Dolezalkova,13-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.41028791,26.09934432,4695724.516,425890.6262,3,54,,West,photo #1-3,files/app/bdcf0271-ae3f-47e9-bddc-a6cdb41b1711_image-1505275336751.original.jpg,3,25,2.8,20,,,,,No,,,3 - damaged,Looting,vicinity of houses and modern human activity,3 - impaired,Looting,,Last year,,"[01, irregular, 2.5, 1.0, old looted RT covered with grass; 02, oval, 1.5, 1.0, 0.4]",,files/app/3ec5045a-cce7-43d1-ba96-ecff90f72e9a_image-1505275625942.original.jpg - files/app/ee114d8e-547c-434e-8663-c2105e47aa84_image-1505275846894.original.jpg - files/app/f8ea8947-796d-495f-a2aa-2bfa2ecbe430_image-1505275679939.original.jpg,POINT(425890.6262 4695724.516417)
1.00E+18,9548,Vera Dolezalkova,13-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.41061501,26.09987836,4695760.372,425934.9541,40,55,,Northeast,,files/app/91ec82e6-d531-4fb0-be8d-2e099f71cfcd_image-1505276102627.original.jpg,0,0,NA,NA,,,,,No,,,0 - No observation,No observation,,No observation,Urban development,,Unknown,,,,,POINT(425934.954059 4695760.371577)
1.00E+18,9549,Vera Dolezalkova,13-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.41114213,26.0988467,4695819.802,425850.686,3,56,,West,photo #4,files/app/fb983b89-7f5c-40b1-bd8a-b940001972fe_image-1505276472142.original.jpg,1,17,NA,15,,,,,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(425850.685999 4695819.801796)
1.00E+18,9550,Vera Dolezalkova,13-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.41221134,26.08729535,4695948.673,424901.4784,3,57,,West,photo#5-6,files/app/cda4b1a2-8ecc-4129-96c1-8c2fa13489ca_image-1505277657106.original.jpg,2,30,NA,25,,,,,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Last year,,"[01, oval, 2.5, 2, 1.2]",,files/app/68e35604-dfbb-426b-8c5e-3d2fcd62a9d2_image-1505277741307.original.jpg - files/app/a19ffd7c-7edd-4ca3-acea-0d32f73a7afa_image-1505313477257.original.jpg,POINT(424901.478409 4695948.673051)
1.00E+18,9551,Vera Dolezalkova,13-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.41179232,26.08755017,4695901.92,424921.9458,3,58,,East,photo#7-11,files/app/bc929bf5-725a-48eb-a788-4e3d78cba510_image-1505278113027.original.jpg,2,28,NA,25,,,,,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Unknown,,"[01, rectangular, 8, 3, 1.1, made by  truck; 02, oblong, 6, 1, 1; 03, oblong, 3.5, 1, 0.8]",,files/app/34abcae5-7b85-4d5c-bc15-90879dbd7c75_image-1505278306249.original.jpg - files/app/3cc0890d-81c1-432e-b62f-f79d62a2631f_image-1505278729114.original.jpg - files/app/ad87e8fc-c4e6-4294-916b-e10bf677ddd8_image-1505278336050.original.jpg - files/app/de88f4f4-1a07-4f9b-8efb-f0c7a88a51ac_image-1505278237937.original.jpg,POINT(424921.945833 4695901.920041)
1.00E+18,9552,Vera Dolezalkova,13-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.40839652,26.08783114,4695524.608,424941.0155,3,59,,South,photo#12-14,files/app/5ee81b30-b65f-4c3f-9ca3-bae16aa17e04_image-1505279177384.original.jpg,2.2,35,NA,30,,,,,No,,,3 - damaged,Looting,,4 - minimal,Looting,,Unknown,,"[01,  circular, 3.5, 3.5, 1.2, three big boulders on the centre of RT; 02, circular, 1.5, 1.5, 0.9]",,files/app/32a8ed50-a5ff-446b-b458-896daba9dbb9_image-1505279311035.original.jpg - files/app/5d0d6beb-bcf3-482c-b091-cb36d8303dae_image-1505279411997.original.jpg - files/app/a374d89f-579e-4c7a-8932-bc866fdef286_image-1505279652566.original.jpg,POINT(424941.015526 4695524.608066)
1.00E+18,9553,Vera Dolezalkova,13-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.40831651,26.08812699,4695515.463,424965.2644,3,60,,West,photo#15-17,files/app/a0101908-fce8-42c1-b313-dd2c43aeb647_image-1505279828399.original.jpg,1.6,18,NA,18,,,,,No,,,4 - seriously damaged,Looting,,4 - minimal,Looting,,Last year,,"[01, oval, 3.5, 2.5, 1.5; 02, rectangular, 4, 1, 0.3]",,files/app/1c7c096c-207e-4336-ab9e-ec4bc817780f_image-1505279924088.original.jpg - files/app/454020ba-2206-449a-9786-f5b23f6bc340_image-1505279955194.original.jpg - files/app/fcf8a2f5-71fe-4b16-9879-ba174f07fe7e_image-1505280315551.original.jpg,POINT(424965.264361 4695515.463419)
1.00E+18,8345,Adela Sobotkova,13-Sep,Extinct Burial Mound,Legacy verification,excavated BA mound over the quarry,Other,explain in notes,Other,explain in notes,Hilltop,,42.51417035,26.57072275,4706955.811,464735.8851,3,45,,Southeast,,files/app/ef76c5ce-6955-422b-a106-bc3a6f9e621e_image-1505281273820.original.jpg,0,0,NA,NA,,,,was Bronze age,No,,,5 - extinct or near extinct,Excavation,,Other,Infrastructure,,Unknown,,,,,POINT(464735.885097 4706955.811099)
1.00E+18,8346,Adela Sobotkova,13-Sep,Burial Mound,Legacy verification,was 9224 in 2019,Pasture,grassland,Pasture,grassland,Hilltop,,42.51413567,26.56663783,4706953.667,464400.2978,3,46,,North,#202,files/app/d83a4d15-2071-4a4c-a117-6c15c398dbe1_image-1505281872446.original.jpg,1,21,NA,16,,,,,No,,,2 - minor damage,Post-depositional,looting,1 - full,No observation,,Not relevant,,"[01, crescent,2,1,0.5,old overgrown]",,,POINT(464400.297809 4706953.666732)
1.00E+18,9554,Vera Dolezalkova,13-Sep,Burial Mound,Legacy verification,,Annual agriculture,,Annual agriculture,,Valley Bottom or Plain,,42.40580572,26.07543913,4695247.955,423918.184,3,61,,West,photo#19-24,files/app/c0b3478b-7887-46c8-97ac-ea1dc5e26df0_image-1505282035275.original.jpg,1.5,25,NA,25,,,Artefact scatter,dense pottery  scatter; 1 where per square metre. 1 ancient  architectural ceramic found. area of scatter is 200mX200m in the field,No,possibly bronze age,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last year,,,,,POINT(423918.183956 4695247.954506)
1.00E+18,8129,Bara Weissova,13-Sep,Burial Mound,Legacy verification,,Pasture,grassland,Pasture,grassland,Valley Bottom or Plain,,42.42725522,26.65888508,4697272.01,471939.4245,3,31,,South,,files/app/f108b237-6842-42ff-99d1-d66cf746e9ce_image-1505282913342.original.jpg,4,30,NA,30,,,,,No,,,3 - damaged,Looting,,3 - impaired,Looting,,Last year,,"01, rectangle,15,5,3, manual excavation",Pepsi bottle dates last looting at 2015-16.,files/app/a0bfdff8-b533-4b2b-a9bb-2b0bf8f18cbb_image-1505283069257.original.jpg - files/app/c65cbd92-b46f-412b-9555-a35e852b3626_image-1505282827573.original.jpg,POINT(471939.424513 4697272.009501)
