uuid,identifier,BurialMoundAuthor,TypeClean,Type Note,HeightMax,DiameterMax,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,MoundID,Date,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseAroundMoundNote,LanduseOnTopOfMound,LanduseOnTopOfMoundNote,PositionInTheLandscape,MoundProminence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,NotesAndPhotoID,Photo,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWhat 2,MostRecentDamageWithin,MostRecentDamageWithin 2,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
1000101663831206529,8648,Matilde Jensen,Uncertain Feature?,,5,40,Matilde Jensen,2022-09-22 07:20:11.732 GMT,Matilde Jensen,2022-09-22 07:27:38 GMT,8648,22 Sep,Legacy verification,"very big feature located in a dense forest. on the map it is located near Ploskata mogila. located just in the periphery of the forest. the determination of the type is quite uncertain. Could be an observation post, a tomb or something else. At the top, we discovered a very large hole filled with stones. the shape of it is sort of triangular 
Someone could have been working at the feature without being noticed",Forest,,Forest,,Upper slope,Low,42.44384333333334,26.760791666666666,4699085.268672879,480327.5929212476,1.8,075,261,East,0793 to 0804,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8648_1.jpg''}}",NA,NA,,40m in diameter at the base and around ,,none,No,,,4 - seriously damaged (We do not know if this is looting due to the uncertainty of the type of feature)?,Other,,4 - minimal,Other,specify in Annotation) (could have been looting or other kinds of activity ),Unknown,the hole looks very recent as there is little to no scrub in the soil),"01, triangular, 8m, 6m 2m, ",The hole at the top of the feature is almost triangular. at some point  it has been covered by stones as stones are scattered both in the trench and at the top of it. some of the stone have remains of possible clay plaster. Stones are red in color some with a grey/white plaster on them.,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8648_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8648_2.jpg''}}",POINT(480327.592921 4699085.268673)
1000091663831277600,8779,Dorthe Pedersen,Other,spearhead),0,0,Dorthe Pedersen,2022-09-22 07:21:22.784 GMT,Dorthe Pedersen,2022-09-22 07:21:22 GMT,8779,22 Sep,Survey,bent metal spearhead. within the surface scatter 8778,Annual agriculture,,Annual agriculture,,Hilltop,Super prominent,42.426230000000004,26.799081666666666,4697121.3682049755,483471.9224132945,1.1,47,184,Northwest,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8779_1.jpg''}}",NA,NA,30 cm long,,Other,spearhead,Yes,,,0 - No observation,Post-depositional,,No observation,Not available,,Not relevant,,,,,POINT(483471.922413 4697121.368205)
1000091663832078393,8780,Dorthe Pedersen,Burial Mound,,5,25,Dorthe Pedersen,2022-09-22 07:34:55.130 GMT,Dorthe Pedersen,2022-09-22 07:48:42 GMT,8780,22 Sep,Legacy verification,"middle of ploughed field. massive mound. minimal damage,easily accessible and within the pottery scatter 8778.",Annual agriculture,,Pasture,grassland (scrub,Hilltop,Super prominent,42.42598666666666,26.802020000000002,4697093.781495552,483713.57464773615,1.1,48,190,North,340,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8780_1.jpg''}}",NA,NA,,,,,No,,,1 - pristine,Looting,,1 - full,Animal activity,,Last month,,"01,round on S side, ca.5m across,1.5m deep,covered by tall grass",come back and dig it,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8780_1.jpg''}}",POINT(483713.574648 4697093.781496)
1000131663833679998,9874,Joel Sercombe,Burial Mound,,3.5,25,Joel Sercombe,2022-09-22 08:01:25.190 GMT,Joel Sercombe,2022-09-22 08:09:36 GMT,9874,22 Sep,Legacy verification,Mound is on the lower section of ridge located south of Kavak Dere River. Mound is surrounded on north and east sides with pasture and on the south west side with forest. Minor looting visible in mound. ,Pasture,"grassland (Pasture on a east, west and north and Forest on the south ",Forest,,Lower slope,Medium,42.43758833333333,26.770705,4698388.479650298,481140.98658368364,12.3,055,239,Southwest,0026 and 0027,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9874_1.jpg''}}",NA,NA,,Round. Difficult to confirm dimensions due to forest and scrub.,,scrub and grass on surface with forest on south west side ,No,,,2 - minor damage,Looting,,2 - good,Looting,,Unknown,,"01, circular, 3m, 3m, 0.6m , hand excavated ",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9874_1a.jpg''}}",POINT(481140.986584 4698388.47965)
1000091663834768847,8781,Dorthe Pedersen,Burial Mound,,2,20,Dorthe Pedersen,2022-09-22 08:19:38.745 GMT,Dorthe Pedersen,2022-09-22 08:19:38 GMT,8781,22 Sep,Legacy verification,2 m mound on upper slop 50 m away from a hilltop mound. ploughed over but still visible.100 m west of dirt road. light Grey soil on dark Grey surroundings. few fragments of coarse red ware and daub. very stony field.,Annual agriculture,,Annual agriculture,,Upper slope,Medium,42.41760333333333,26.791036666666667,4696165.08501382,482807.7623466625,1.1,50,236,West,351-357,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8781_1.jpg''}}",NA,NA,,,,"red cw daub,nothing diagnostic. green stone",No,,,2 - minor damage,Agriculture,,2 - good,Agriculture,,Last week,,no RT,,,POINT(482807.762347 4696165.085014)
1000091663835501240,8782,Dorthe Pedersen,Burial Mound,,1.6,13,Dorthe Pedersen,2022-09-22 08:31:44.767 GMT,Dorthe Pedersen,2022-09-22 08:52:42 GMT,8782,22 Sep,Legacy verification,"low Mound on hilltop near 8781 with surface scatter along its periphery,up to 10 artifacts per m.. small Rt on top. easily accessible through a perfectly leveled harrowed field. ",Annual agriculture,,Pasture,grassland (partial scrub,Hilltop,High,42.416776666666664,26.790633333333336,4696073.376118938,482774.3522620699,1.3,51,241,South,361-366,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8782_1.jpg''}}",NA,NA,,,Artefact scatter,prehistoric handmade decorated incised pottery. thin and thick walled handmade. stoneaxe butt. daub. redslip Roman. redfabric fineware. thick walled covertilles.,Yes,,,1 - pristine,Agriculture,Shallow old RT,1 - full,Agriculture,,Last week,,"01.round,1.5 and 0.5 deep",,,POINT(482774.352262 4696073.376119)
1000131663838109412,9875,Joel Sercombe,Burial Mound,,1.8,15,Joel Sercombe,2022-09-22 09:15:14.624 GMT,Joel Sercombe,2022-09-22 09:30:50 GMT,9875,22 Sep,Legacy verification,Mound is located on a ridge in dense scrub and forest east of Lulin and south of Kavac Dere River. Mound is on a slight ridge and appears to be surrounded in very old fox holes and other military embankment works. there is a fox hole on top of the mound.,Forest,,Forest,,Upper slope,Medium,42.43578000000001,26.767470000000003,4698188.410570697,480874.36488305556,1.7,056,253,North,0028 to 0030,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9875_1.jpg''}}",NA,NA,,round ,,Dense scrub and grass with some trees.,No,,,2 - minor damage,Other,Military fox hole?,2 - good,Other,specify in Annotation) (Military earthworks),Other,estimated 40ish years)??,"01, rectangular, 3m,2m,0.3m,manually excavated (Expected to be a fox hole for military not a robbers trench)",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9875_1.jpg''}}",POINT(480874.364883 4698188.410571)
1000131663839453366,9876,Joel Sercombe,Burial Mound,,1.8,20,Joel Sercombe,2022-09-22 09:37:38.522 GMT,Joel Sercombe,2022-09-22 09:37:38 GMT,9876,22 Sep,Legacy verification,Mound is located on the top of a small ridge West of Lulin and south west of Kavak Dere River. Mound is surrounded by medium dense forest and appears otherwise untouched by robbers or military or any other activity. ,Forest,,Forest,,Upper slope (Please add ridgeline to fields as this mound would be on the ridgeline along with most others from today.),Low (Medium if vegetation was cleared but low due to vegetation. ),42.43550833333334,26.767228333333332,4698158.299871613,480854.4050529797,1.3,057,254,Northwest,0031 and 0032,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9876_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9876_2.jpg''}}",NA,NA,,Round,,Bare earth and scrub,No,,,1 - pristine,No observation,,1 - full,No observation,,Not relevant,,N/A,,,POINT(480854.405053 4698158.299872)
1000091663842451231,8783,Dorthe Pedersen,Burial Mound,possibly a stone pile under scrub and grass)?,0.5,20,Dorthe Pedersen,2022-09-22 10:27:39.095 GMT,Dorthe Pedersen,2022-09-22 10:36:53 GMT,8783,22 Sep,Legacy verification,"poorly visible stony low mound,pertaining from a Scrubby patch into the field. visible in satellite image. tree on top and scrub. no visible rts, obscured by vegetation. disturbed ground, irregular surface. rts possible but visible",Annual agriculture,scrub?,Scrub,scrubs,Upper slope,Low,42.41450833333333,26.771161666666664,4695825.639470559,481171.64112144,1.2,52,273,Northwest,370-371,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8783_1.jpg''}}",0.4,NA,,,,,No,,,4 - seriously damaged,Agriculture,vegetation  and tree on top,5 - none or nearly none,Agriculture,,Last year,,no rt,,,POINT(481171.641121 4695825.639471)
1000131663843961403,9877,Joel Sercombe,Burial Mound,,4.5,35,Joel Sercombe,2022-09-22 10:52:45.428 GMT,Joel Sercombe,2022-09-22 11:07:02 GMT,9877,22 Sep,Legacy verification,Burial mound ,Forest,,Forest,,Hilltop,Low (high prominence if all vegetation was removed  ),42.431931666666664,26.762146666666663,4697762.314516265,480435.3225895838,1.2,058,279,South,0033 to 0039,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9877_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9877_2.jpg''}}",3.5,NA,,round,,,No,,,3 - damaged,Looting,,2 - good,Looting,,Last year,,"01, rectangular,2m,1m,0.5m,manually excavated 
02, rectangular, 4.5m,2m,0.8m, manually excavated 
03, rectangular, 4m, 2m,0.6m manually excavated ",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9877_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9877_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/9877_3.jpg''}}",POINT(480435.32259 4697762.314516)
1000091663846111914,8784,Dorthe Pedersen,Burial Mound,,1,25,Dorthe Pedersen,2022-09-22 11:28:41.770 GMT,Dorthe Pedersen,2022-09-22 11:32:31 GMT,8784,22 Sep,Legacy verification,"low Mound south of lyulin reservoir in a compacted harrowed field , heaviploughed with great ground visibility.  liwerslipe and near a tree patch",Annual agriculture,,Annual agriculture,,Lower slope,Low,42.42135499999999,26.810765,4696577.854505011,484431.8188039777,1.2,53,205,Northwest,373_374,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8784_1.jpg''}}",0,0,,sprawling ploughed mound,,"field is stony, and recent shards ",No,,,5 - extinct or near extinct,Agriculture,ploughing,4 - minimal,Agriculture,,Last month,,none,not easy to see,,POINT(484431.818804 4696577.854505)
1000131663846779466,9878,Joel Sercombe,Burial Mound,,0.4,16,Joel Sercombe,2022-09-22 11:39:42.794 GMT,Joel Sercombe,2022-09-22 11:39:42 GMT,9878,22 Sep,Legacy verification,Mound is in a field and has been recently harrowed. The mound is elongated due to ploughing. The soil on the mound is greyish compared to the surround soil. The mound is southwest of Lulin and north from Kakaraja River ,Annual agriculture,,Forest,,Valley Bottom or Plain,High,42.430605,26.778146666666665,4697611.442693575,481751.0218270073,1.4,059,256,East,0042 to 0044,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9878_1.jpg''}}",NA,11,,oval. expected to be oval and reduced in height because of ploughing.,Other (Single pottery shard found at base of mound on north side.  refer photos.),Pottery shars found at base of mound.,No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9878_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9878_2.jpg''}}",4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last week,,N/A,,,POINT(481751.021827 4697611.442694)
1000081663910118346,8785,Mathias Kaas,Burial Mound,,1.4,40,Mathias Kaas,2022-09-23 05:15:25.993 GMT,Mathias Kaas,2022-09-23 05:15:25 GMT,8785,23 Sep,Legacy verification,"Overploughed mound 500 m south of the eternal fire monument. East of the dirtroad, easy accessible. Place name is stoichova mound.
North of the Nedyalsko village
",Annual agriculture,,Annual agriculture,,Lower slope,Low,42.492039999999996,26.819656666666667,4704424.968231657,485180.00426402886,1.1,054,282,Northwest,378 to 379,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8785_1.jpg''}}",NA,NA,,,"Other (Lozenge shaped, natural? Depression in the ground.
10 m east of the mound, 10x4 m in Noth-South direction.
About 1 m deep.)",,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,No RT. overploughed,,,POINT(485180.004264 4704424.968232)
1000081663913334260,8786,Mathias Kaas,Burial Mound,,3,32,Mathias Kaas,2022-09-23 06:08:59.445 GMT,Mathias Kaas,2022-09-23 06:15:08 GMT,8786,23 Sep,Legacy verification,"3 m mound covered in pasture in the middle of a vineyard.Nearly touched and accessible from dirtroad to the northwest. 
",Perennial agriculture,e.g orchard or vineyard,Pasture,grassland,Lower slope,Medium,42.48532,26.814105,4703679.775100098,484722.15199409315,1.2,55,264,Southeast,381 to 385,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8786_1.jpg''}}",NA,NA,,Round,,none,No,,,2 - minor damage,Animal activity,Minor looti g,2 - good,Animal activity,,Unknown,,1: Round 1.5x0.5 m Shallow center tot he top. ,,,POINT(484722.151994 4703679.7751)
1000131663914228537,9879,Joel Sercombe,Burial Mound,,0.4,16,Joel Sercombe,2022-09-23 06:23:52.071 GMT,Joel Sercombe,2022-09-23 06:23:52 GMT,9879,23 Sep,Legacy verification,"Mound is North West of Lulin and between Arnauska River (to the north) and Kara Dere River (to the south). The mound is close to the Erkesia (to the south). The burial mound is ploughed heavi,you and is elongated due to agriculture. the mound is covered in stones that were placed there by farmers and there is a small tree on the top. ",Annual agriculture,,Scrub,,Hilltop,High,42.44552,26.77358333333333,4699268.556886614,481380.07200073486,9.7,060,214,South,0001 to 0002,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9879_1.jpg''}}",NA,10,,oval ,Other (Stones piled on top removed from agricultural field),,No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9879_1.jpg''}}",4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(481380.072001 4699268.556887)
1000081663915092941,8787,Mathias Kaas,Burial Mound,,0.5,28,Mathias Kaas,2022-09-23 06:38:27.708 GMT,Mathias Kaas,2022-09-23 06:43:03 GMT,8787,23 Sep,Legacy verification,"Overploughed mound with road cut on the south side of the mound. Stones on top spread across. Hardly visible, merges with the landscape.
",Annual agriculture,,Annual agriculture,,Hilltop,Low,42.482605,26.825519999999997,4703376.313435528,485659.67814115115,1.2,56,281,Northwest,390,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8787_1.jpg''}}",NA,NA,,,,Loose black stones on top.,No,,,5 - extinct or near extinct,Anthropogenic,Roadcut thru mound on the south side,4 - minimal,Agriculture,,Last month,,,,,POINT(485659.678141 4703376.313436)
1000131663915561931,9880,Joel Sercombe,Burial Mound,,0.5,16,Joel Sercombe,2022-09-23 06:46:06.198 GMT,Joel Sercombe,2022-09-23 06:46:06 GMT,9880,23 Sep,Legacy verification,"Mound is North West of Lulin, South of Arnauska River and north of Erkesia",Annual agriculture,,Pasture,grassland,Hilltop,Medium,42.44714166666666,26.769999999999996,4699449.415009017,481085.8755234667,1.4,061,222,Northwest,"0004, 0005, 0007 and 0013","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9880_1.jpg''}}",0.2,12,,oval ,Artefact scatter,"Pottery found on south east side of mound. Pottery was found in ploughed areas with very good soil visibility. Other areas around the mound have very low visibility (north, east and west sides) ",Yes,Roman,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9880_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9880_2.jpg''}}",4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last year,,N/A,,,POINT(481085.875523 4699449.415009)
1000081663915583926,8788,Mathias Kaas,Burial Mound,,0.4,28,Mathias Kaas,2022-09-23 06:46:36.292 GMT,Mathias Kaas,2022-09-23 06:46:36 GMT,8788,23 Sep,Legacy verification,"Overploughed mound south of the dirtroad. Hardly visible. 
",Annual agriculture,,Annual agriculture,,Upper slope,Nil,42.48111000000001,26.826208333333337,4703210.195111338,485715.91146710515,1.3,57,272,South,391 to 392,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8788_1.jpg''}}",NA,NA,,,,Loose black stones on the top,No,,,5 - extinct or near extinct,Agriculture,,5 - none or nearly none,Agriculture,,Last month,,,,,POINT(485715.911467 4703210.195111)
1000081663916460942,8789,Mathias Kaas,Burial Mound,,1.1,30,Mathias Kaas,2022-09-23 07:01:06.132 GMT,Mathias Kaas,2022-09-23 07:01:06 GMT,8789,23 Sep,Legacy verification,Overploughed mound south of the dirtroad. Badly visible.,Annual agriculture,,Annual agriculture,,Hilltop,Medium,42.479843333333335,26.833098333333336,4703068.409628059,486281.9300265788,1.1,58,262,South,393 to 395,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8789_1.jpg''}}",NA,NA,,,,1 small piece of ceramic,No,,,4 - seriously damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(486281.930027 4703068.409628)
1000131663916931449,9881,Joel Sercombe,Surface Scatter,,0,300 (Surface scatter extends along the bank of Kavak Dere River for an uncertain length and extends approx 100m uphill from the bank at minimum. The scatter is on both sides of the bank.)??,Joel Sercombe,2022-09-23 07:08:56.623 GMT,Joel Sercombe,2022-09-23 07:08:56 GMT,9881,23 Sep,Survey,"Scatter is North West of Lulin, South of Arnauska River and South of Erkesia and immediately north of Kavak Dere River. Fragments are found in a ploughed hillside running in east direction from the GPS point along the north wesf River bank and some smaller scatters are found on the south east bank along the road. The exact dimensions of the site have not been able to be determined and may extend beyond the estimated size given. surrounding land has low visibility due to pasture and grasses. 

handheld GPS points are 062 and 063.",Annual agriculture,,Annual agriculture,,Lower slope,Nil,42.44226999999999,26.780640000000002,4698906.161251688,481959.46208014013,1.4,062 (2 points where taken 062 and 063),189,Northwest,0014 to 0017,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9881_1.jpg''}}",NA,NA,,,Artefact scatter,Scattered pottery shards in ploughed fields.,Yes,Roman or medieval??,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9881_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9881_2.jpg''}}",3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,N/A,,,POINT(481959.46208 4698906.161252)
1000081663916968480,8790,Mathias Kaas,Uncertain Feature,,0.2,12,Mathias Kaas,2022-09-23 07:09:33.670 GMT,Mathias Kaas,2022-09-23 07:09:33 GMT,8790,23 Sep,Survey,Round scatter black stones. 50 m east of mound 8789. overgrown with pasture. Natural feature?,Annual agriculture,,Annual agriculture,,Hilltop,Nil,42.479793333333326,26.833793333333332,4703062.745575254,486339.0429718087,1.2,059,266,Southeast,396,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8790_1.jpg''}}",NA,NA,,,,"Loose scatter of stones on top. One piece of a amphora handle, red fabric.",No,,,5 - extinct or near extinct,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(486339.042972 4703062.745575)
1000081663918060401,8791,Mathias Kaas,Burial Mound,,0.7,24,Mathias Kaas,2022-09-23 07:27:45.586 GMT,Mathias Kaas,2022-09-23 07:27:45 GMT,8791,23 Sep,Legacy verification,Overloughed mound. Poorly visible in the middle of field. ,Annual agriculture,,Annual agriculture,,Lower slope,Low,42.47707333333333,26.843429999999998,4702759.215009352,487130.5484260262,1.2,60,242,Northwest,404 to 405,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8791_1.jpg''}}",NA,NA,,,,Some heavily worn red fabric. redm cw,No,Roman?,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/8791_1.jpg''}}",4 - seriously damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(487130.548426 4702759.215009)
1000081663921425596,8792,Mathias Kaas,Burial Mound,,0.8,25,Mathias Kaas,2022-09-23 08:23:55.308 GMT,Mathias Kaas,2022-09-23 08:23:55 GMT,8792,23 Sep,Legacy verification,Overploughed mound on a lower ridge with a clear soil mark Grey over dark Grey. The field is stoney.,Annual agriculture,,Annual agriculture,,Lower slope,Low,42.46369833333333,26.850916666666663,4701272.972965837,487743.314524874,1.3,061,210,West,407,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8792_1.jpg''}}",NA,NA,,,,none,No,,,4 - seriously damaged,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(487743.314525 4701272.972966)
1000081663922886342,8793,Mathias Kaas,Burial Mound,,1.4,35,Mathias Kaas,2022-09-23 08:48:16.359 GMT,Mathias Kaas,2022-09-23 08:48:16 GMT,8793,23 Sep,Legacy verification,"Overploughed mound. Soil mark. Easily accessible from, the dirtroad to the south.
",Annual agriculture,,Annual agriculture,,Lower slope,Medium,42.466391666666674,26.83958,4701573.734638251,486811.8508474709,1.1,062,217,North,408 to 408,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8793_1.jpg''}}",NA,NA,,,,none,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(486811.850847 4701573.734638)
1000131663923087519,9882,Joel Sercombe,Burial Mound,,2,35,Joel Sercombe,2022-09-23 08:51:30.176 GMT,Joel Sercombe,2022-09-23 08:51:30 GMT,9882,23 Sep,Legacy verification,"Mound located 20m from road, immediately south from road between Parvenec and Pravdino. Mound on hill in harvested field.",Annual agriculture,,Annual agriculture,,Hilltop,High,42.42665333333333,26.883230000000005,4697155.426894152,490394.25441084284,1.4,064,169,Northeast,0018 to 0021,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9882_1.jpg''}}",NA,30,,round,Loose artefacts,1 small shard of pottery was found. Refer photo.,No,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9882_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9882_2.jpg''}}",4 - seriously damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(490394.254411 4697155.426894)
1000081663923241023,8794,Mathias Kaas,Burial Mound,,1.1,25,Mathias Kaas,2022-09-23 08:54:14.922 GMT,Mathias Kaas,2022-09-23 08:54:14 GMT,8794,23 Sep,Legacy verification,"Overploughed mound, soil marks. North of a dirtroad. Easily accessible.",Annual agriculture,,Annual agriculture,,Upper slope,Low,42.46698166666667,26.83881166666667,4701639.366724443,486748.810483965,1.2,063,221,Northwest,410,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8794_1.jpg''}}",NA,NA,,,,none,No,,,3 - damaged,Agriculture,,3 - impaired,Agriculture,,Last month,,,,,POINT(486748.810484 4701639.366724)
1000131663923846258,9883,Joel Sercombe,Extinct Burial Mound?,,0.15,20,Joel Sercombe,2022-09-23 09:04:11.429 GMT,Joel Sercombe,2022-09-23 09:04:11 GMT,9883,23 Sep,Legacy verification,Probably an extinct burial mound. Surface scatter of pottery over small rise in the agricultural field directly between 2 other mounds. Stones all over the surface in harvested agricultural land. Expected that agricultural damage has ploughed the mound almost flat.,Annual agriculture,,Annual agriculture,,Hilltop,Low,42.425823333333334,26.88309333333333,4697063.2815218605,490382.8850588903,1.4,065,163,West,0023 to 0026,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/9883_1.jpg''}}",NA,NA,,,Artefact scatter,Pottery scatter in ploughed field with small rocks.,Yes,Roman,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9883_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/AssociatedFeatureOrMaterialPhoto/9883_2.jpg''}}",5 - extinct or near extinct,Agriculture,,4 - minimal,Agriculture,,Last month,,,,,POINT(490382.885059 4697063.281522)
1000081663924808289,8795,Mathias Kaas,Burial Mound,,2.2,20,Mathias Kaas,2022-09-23 09:21:03.260 GMT,Mathias Kaas,2022-09-23 09:34:35 GMT,8795,23 Sep,Legacy verification,"Half of a mound standing, covered in grass with recent geodetic pointon top. Excavated? easily accessible 50 m east of the village. 
East half is removed and serves as garbage disposal.",Pasture,grassland,Pasture,grassland,Upper slope?,Medium,42.466918333333325,26.82974166666667,4701633.790452409,486003.1572983571,1.2,064,219,South,413/ff,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8795_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/Photo/8795_2.jpg''}}",NA,NA,,,,none,No,,,4 - seriously damaged,Excavation,Triangular point on top.,3 - impaired,Animal activity,,Unknown,,"1: Round crater, 10x2, big possible RT or excavation?, serves as garbage disposal.",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''BurialMound/CRMPhotos/8795_1.jpg''}}",POINT(486003.157298 4701633.790452)
